Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
PDCO,"Patterson Companies",25.31,-0.39,-1.52%,25.57,25.57,25.11,559700,2022-10-07
PDFS,"Pdf Solutions Inc",24.85,-1.59,-6.01%,25.88,26.26,24.63,89400,2022-10-07
PDM,"Piedmont Office Realty Trust",9.79,-0.17,-1.71%,9.86,9.94,9.62,2285500,2022-10-07
PEAK,"Healthpeak Properties Inc",21.9,-0.69,-3.05%,22.2,22.43,21.79,4978300,2022-10-07
PEB,"Pebblebrook Hotel Trust",14.54,-0.34,-2.28%,14.76,14.87,14.44,1671100,2022-10-07
PEBO,"Peoples Bancorp Inc",29.04,-0.78,-2.62%,29.61,29.61,28.96,62100,2022-10-07
PECO,"Phillips Edison & Company Inc",28.32,0.07,+0.25%,28.2,28.43,27.94,692400,2022-10-07
PEG,"Public Service Enterprise Group Inc",55.32,-1.34,-2.36%,56.54,56.84,54.85,2073400,2022-10-07
PEGA,"Pegasystems Inc",32.31,-1.49,-4.41%,33.06,33.06,32.06,232900,2022-10-07
PEN,"Penumbra Inc",181.26,-13.4,-6.88%,190.41,191.41,180.17,256300,2022-10-07
PENN,"Penn Entertainment Inc",30.68,-1.22,-3.82%,31.36,31.36,29.85,4744400,2022-10-07
PEP,"Pepsico Inc",161.61,-1.19,-0.73%,162.3,163.01,160.98,4779100,2022-10-07
PETS,"Petmed Express Inc",19.8,-0.12,-0.60%,19.78,19.84,19.46,397800,2022-10-07
PFBC,"Preferred Bank LA",65.52,-1.57,-2.34%,66.93,66.93,65.36,46400,2022-10-07
PFC,"Premier Financial Corp",26.11,-0.58,-2.17%,26.62,26.62,26.01,60100,2022-10-07
PFE,"Pfizer Inc",42.32,-0.77,-1.79%,43.05,43.05,41.92,20095000,2022-10-07
PFG,"Principal Financial Group Inc",76.04,-2.28,-2.91%,76.79,77.33,75.51,1663200,2022-10-07
PFGC,"Performance Food Group Company",44.88,-1.14,-2.48%,45.3,45.71,44.5,909500,2022-10-07
PFHC,"Profrac Holding Corp. Cl A",19.4,0.17,+0.88%,19.39,19.45,18.65,116400,2022-10-07
PFHD,"Professional Holding Corp",26.68,-0.56,-2.06%,27.22,27.22,26.55,44200,2022-10-07
PFIS,"Peoples Finl Svcs Company",47.7,-0.62,-1.28%,47.73,47.74,47.6,6600,2022-10-07
PFS,"Provident Financial Services",19.25,-0.73,-3.65%,19.86,20.07,19.18,469100,2022-10-07
PFSI,"Pennymac Financial Services IN",45.9,-0.17,-0.37%,45.69,46.04,44.63,568000,2022-10-07
PG,"Procter & Gamble Company",124.27,-2.21,-1.75%,126.5,126.58,123.76,6095400,2022-10-07
PGC,"Peapack Gladstone FI",34.73,-0.53,-1.50%,35.13,35.13,34.51,37300,2022-10-07
PGEN,"Precigen Inc",1.76,-0.3,-14.56%,2.03,2.05,1.76,1412400,2022-10-07
PGNY,"Progyny Inc",37.51,-2.45,-6.13%,39.07,39.07,37.17,442100,2022-10-07
PGR,"Progressive Corp",121.96,0.04,+0.03%,121.94,122.77,120.82,2521800,2022-10-07
PGRE,"Paramount Group Inc",5.97,-0.08,-1.32%,5.99,6.03,5.87,1989900,2022-10-07
PGTI,"Pgt Inc",23.03,-0.15,-0.65%,22.9,23.17,22.78,841000,2022-10-07
PH,"Parker-Hannifin Corp",254.19,-6.74,-2.58%,257.87,258.76,252.4,613000,2022-10-07
PHM,Pultegroup,40.09,-1.18,-2.86%,40.69,40.69,39.52,1950700,2022-10-07
PHR,"Phreesia Inc",23.89,-2.06,-7.94%,25.4,25.58,23.7,310200,2022-10-07
PI,"Impinj Inc",84.08,-4.57,-5.16%,86.95,87,82.61,201400,2022-10-07
PII,"Polaris Industries Inc",96.96,-2.23,-2.25%,97.97,98.25,95.3,404100,2022-10-07
