Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BJ,"Bj's Wholesale Club Holdings Inc",70.21,-1.11,-1.56%,71.2,71.59,70.02,1596900,2022-10-07
BK,"Bank of New York Mellon Corp",39.48,-1.2,-2.95%,40.25,40.41,39.18,3944100,2022-10-07
BKI,"Black Knight Inc",66.02,-0.28,-0.42%,65.82,66.18,65.48,634900,2022-10-07
BKNG,"Booking Holdings Inc",1685.16,-24.57,-1.44%,1680.77,1699.03,1668.12,443500,2022-10-07
BKR,"Baker Hughes A Ge Co. Cl A",22.88,-0.86,-3.62%,23.75,23.75,22.77,7364700,2022-10-07
BLD,"Topbuild Corp",176.24,-6.56,-3.59%,179.14,180.67,175.64,204200,2022-10-07
BLDR,"Builders Firstsource",63.24,-0.55,-0.86%,62.78,63.3,61.69,1731200,2022-10-07
BLK,"Blackrock Inc",550.4,-21.21,-3.71%,564.83,564.83,546.99,626000,2022-10-07
BMRN,"Biomarin Pharmaceuticals",88.15,-3.33,-3.64%,91.16,91.16,87.63,1075900,2022-10-07
BMY,"Bristol-Myers Squibb Company",69.7,-0.54,-0.77%,70.34,70.46,69.26,7934600,2022-10-07
BOH,"Bank of Hawaii Corp",76.68,-3.35,-4.19%,79.88,79.88,76.67,275000,2022-10-07
BOKF,"Bok Financial Corp",91.83,-1.86,-1.99%,92.92,93.06,90.88,150300,2022-10-07
BPOP,"Popular Inc",71.23,-2.1,-2.86%,73.04,73.04,70.93,1299600,2022-10-07
BR,"Broadridge Financial Solutions Llc",142.87,-2.57,-1.77%,144,144.15,141.13,622800,2022-10-07
BRK.B,"Berkshire Hathaway Cl B",269.04,-7.27,-2.63%,274.44,274.49,267.48,4273200,2022-10-07
BRKR,"Bruker Corp",55.73,-1.96,-3.40%,56.75,57.04,54.81,948400,2022-10-07
BRO,"Brown & Brown",61.22,-1.43,-2.28%,62.16,62.29,60.8,1114500,2022-10-07
BRX,"Brixmor Property Group Inc",18.48,-0.49,-2.58%,18.78,18.9,18.3,2393600,2022-10-07
BSX,"Boston Scientific Corp",39.76,-0.89,-2.19%,40.27,40.43,39.6,9642899,2022-10-07
BSY,"Bentley Systems Incorporated Cl B",33.17,-0.9,-2.64%,33.54,33.95,32.89,666400,2022-10-07
BURL,"Burlington Stores Inc",118.96,-3.32,-2.72%,119.8,120.5,117.47,1265900,2022-10-07
BWA,"Borgwarner Inc",33.6,-0.64,-1.87%,33.89,33.98,33.34,1468700,2022-10-07
